0: {wait: 0.0, buy: 0.0} => [wait, buy]
(8, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(8, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(8, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(8, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(8, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(8, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(8, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(8, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(8, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(8, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(8, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(8, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(8, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(8, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(8, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(8, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(8, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(8, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(8, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(8, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(8, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(8, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(8, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(8, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(8, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(8, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(8, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(8, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(8, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(8, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(8, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(8, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(8, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(8, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(8, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(8, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(8, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(8, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(8, 44): {wait: 44.0, buy: 44.0} => [wait, buy]
(8, 45): {wait: 45.0, buy: 45.0} => [wait, buy]
(8, 46): {wait: 46.0, buy: 46.0} => [wait, buy]
(9, 1): {wait: 1.125, buy: 1.0} => [buy]
(9, 2): {wait: 2.015625, buy: 2.0} => [buy]
(9, 3): {wait: 3.0, buy: 3.0} => [wait, buy]
(9, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(9, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
(9, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(9, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(9, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(9, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(9, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(9, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(9, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(9, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(9, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(9, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(9, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(9, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(9, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(9, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(9, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(9, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(9, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(9, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(9, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(9, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(9, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(9, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(9, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(9, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(9, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(9, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(9, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(9, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(9, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(9, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(9, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(9, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(9, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(9, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(9, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(9, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(9, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(9, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(9, 44): {wait: 44.0, buy: 44.0} => [wait, buy]
(9, 45): {wait: 45.0, buy: 45.0} => [wait, buy]
(9, 46): {wait: 46.0, buy: 46.0} => [wait, buy]
(9, 47): {wait: 47.0, buy: 47.0} => [wait, buy]
(9, 48): {wait: 48.0, buy: 48.0} => [wait, buy]
(9, 49): {wait: 49.0, buy: 49.0} => [wait, buy]
(10, 0): {wait: 0.46875, buy: 0.0} => [buy]
(10, 1): {wait: 1.125, buy: 1.0} => [buy]
(10, 2): {wait: 2.015625, buy: 2.0} => [buy]
(10, 3): {wait: 3.0, buy: 3.0} => [wait, buy]
(10, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(10, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
(10, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(10, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(10, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(10, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(10, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(10, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(10, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(10, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
