0: {wait: 0.0, buy: 0.0} => [wait, buy]
(10, 11): {wait: 12.68, buy: 11.0} => [buy]
(10, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(10, 13): {wait: 14.44, buy: 13.0} => [buy]
(10, 14): {wait: 15.32, buy: 14.0} => [buy]
(10, 15): {wait: 16.2, buy: 15.0} => [buy]
(10, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(10, 17): {wait: 17.96, buy: 17.0} => [buy]
(10, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(10, 19): {wait: 19.72, buy: 19.0} => [buy]
(10, 20): {wait: 20.6, buy: 20.0} => [buy]
(10, 21): {wait: 21.48, buy: 21.0} => [buy]
(10, 22): {wait: 22.35605855930408, buy: 22.0} => [buy]
(10, 23): {wait: 23.214566322202938, buy: 23.0} => [buy]
(10, 24): {wait: 24.03395087291012, buy: 24.0} => [buy]
(10, 25): {wait: 24.79627548135386, buy: 25.0} => [wait]
(10, 26): {wait: 25.49872054591899, buy: 26.0} => [wait]
(10, 27): {wait: 26.15395816598293, buy: 27.0} => [wait]
(10, 28): {wait: 26.780249391367125, buy: 28.0} => [wait]
(10, 29): {wait: 27.39175723468918, buy: 29.0} => [wait]
(10, 30): {wait: 27.996244623085744, buy: 30.0} => [wait]
(10, 31): {wait: 28.597588215970234, buy: 31.0} => [wait]
(10, 32): {wait: 29.197754716797384, buy: 32.0} => [wait]
(10, 33): {wait: 29.79755140599802, buy: 33.0} => [wait]
(10, 34): {wait: 30.397258240000003, buy: 34.0} => [wait]
(10, 35): {wait: 30.9969536, buy: 35.0} => [wait]
(10, 36): {wait: 31.596648960000003, buy: 36.0} => [wait]
(10, 37): {wait: 32.19634432, buy: 37.0} => [wait]
(10, 38): {wait: 32.79603967999999, buy: 38.0} => [wait]
(10, 39): {wait: 33.39573504, buy: 39.0} => [wait]
(10, 40): {wait: 33.9954304, buy: 40.0} => [wait]
(10, 41): {wait: 34.59512576, buy: 41.0} => [wait]
(10, 42): {wait: 35.19482112, buy: 42.0} => [wait]
(10, 43): {wait: 35.79451648, buy: 43.0} => [wait]
(10, 44): {wait: 36.39421184, buy: 44.0} => [wait]
(10, 45): {wait: 36.993907199999995, buy: 45.0} => [wait]
(10, 46): {wait: 37.593602559999994, buy: 46.0} => [wait]
(10, 47): {wait: 38.193297920000084, buy: 47.0} => [wait]
(10, 48): {wait: 38.7929932803812, buy: 48.0} => [wait]
(10, 49): {wait: 39.39268864176314, buy: 49.0} => [wait]
(10, 50): {wait: 39.99238400000011, buy: 50.0} => [wait]
(10, 51): {wait: 40.67385600043317, buy: 51.0} => [wait]
(10, 52): {wait: 41.355328002003546, buy: 52.0} => [wait]
(11, 0): {wait: 3.0, buy: 0.0} => [buy]
(11, 1): {wait: 3.880000018944, buy: 1.0} => [buy]
(11, 2): {wait: 4.760000004096, buy: 2.0} => [buy]
(11, 3): {wait: 5.639999999999999, buy: 3.0} => [buy]
(11, 4): {wait: 6.52, buy: 4.0} => [buy]
(11, 5): {wait: 7.4, buy: 5.0} => [buy]
(11, 6): {wait: 8.280000000000001, buy: 6.0} => [buy]
(11, 7): {wait: 9.16, buy: 7.0} => [buy]
(11, 8): {wait: 10.04, buy: 8.0} => [buy]
(11, 9): {wait: 10.92, buy: 9.0} => [buy]
(11, 10): {wait: 11.8, buy: 10.0} => [buy]
(11, 11): {wait: 12.68, buy: 11.0} => [buy]
(11, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(11, 13): {wait: 14.44, buy: 13.0} => [buy]
(11, 14): {wait: 15.32, buy: 14.0} => [buy]
(11, 15): {wait: 16.2, buy: 15.0} => [buy]
(11, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(11, 17): {wait: 17.96, buy: 17.0} => [buy]
(11, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(11, 19): {wait: 19.72, buy: 19.0} => [buy]
(11, 20): {wait: 20.6, buy: 20.0} => [buy]
(11, 21): {wait: 21.48, buy: 21.0} => [buy]
(11, 22): {wait: 22.3582651949056, buy: 22.0} => [buy]
(11, 23): {wait: 23.226834279042365, buy: 23.0} => [buy]
(11, 24): {wait: 24.070145610434782, buy: 24.0} => [buy]
(11, 25): {wait: 24.87220118279512, buy: 25.0} => [wait]
(11, 26): {wait: 25.627431954753806, buy: 26.0} => [wait]
(11, 27): {wait: 26.34448278582364, buy: 27.0} => [wait]
(11, 28): {wait: 27.03923111449592, buy: 28.0} => [wait]
(11, 29): {wait: 27.724715014067353, buy: 29.0} => [wait]
(11, 30): {wait: 28.40722118023423, buy: 30.0} => [wait]
(11, 31): {wait: 29.088832, buy: 31.0} => [wait]
(11, 32): {wait: 29.770304000000007, buy: 32.0} => [wait]
(11, 33): {wait: 30.451776000000002, buy: 33.0} => [wait]
(11, 34): {wait: 31.133248, buy: 34.0} => [wait]
(11, 35): {wait: 31.814719999999998, buy: 35.0} => [wait]
(11, 36): {wait: 32.496192, buy: 36.0} => [wait]
(11, 37): {wait: 33.177664, buy: 37.0} => [wait]
(11, 38): {wait: 33.859136, buy: 38.0} => [wait]
(11, 39): {wait: 34.540608, buy: 39.0} => [wait]
(11, 40): {wait: 35.22208, buy: 40.0} => [wait]
(11, 41): {wait: 35.903552, buy: 41.0} => [wait]
(11, 42): {wait: 36.585024000000004, buy: 42.0} => [wait]
(11, 43): {wait: 37.266496000000004, buy: 43.0} => [wait]
(11, 44): {wait: 37.947968, buy: 44.0} => [wait]
(11, 45): {wait: 38.629439999999995, buy: 45.0} => [wait]
(11, 46): {wait: 39.310912, buy: 46.0} => [wait]
(11, 47): {wait: 39.99238400000011, buy: 47.0} => [wait]
(11, 48): {wait: 40.67385600043317, buy: 48.0} => [wait]
(11, 49): {wait: 41.355328002003546, buy: 49.0} => [wait]
(11, 50): {wait: 42.036799999999985, buy: 50.0} => [wait]
(11, 51): {wait: 42.811200000491525, buy: 51.0} => [wait]
(11, 52): {wait: 43.585600002273274, buy: 52.0} => [wait]
(11, 53): {wait: 44.36, buy: 53.0} => [wait]
(11, 54): {wait: 45.24, buy: 54.0} => [wait]
(11, 55): {wait: 46.120000000000005, buy: 55.0} => [wait]
(12, 0): {wait: 3.0, buy: 0.0} => [buy]
(12, 1): {wait: 3.880000018944, buy: 1.0} => [buy]
(12, 2): {wait: 4.760000004096, buy: 2.0} => [buy]
(12, 3): {wait: 5.639999999999999, buy: 3.0} => [buy]
(12, 4): {wait: 6.52, buy: 4.0} => [buy]
(12, 5): {wait: 7.4, buy: 5.0} => [buy]
(12, 6): {wait: 8.280000000000001, buy: 6.0} => [buy]
(12, 7): {wait: 9.16, buy: 7.0} => [buy]
(12, 8): {wait: 10.04, buy: 8.0} => [buy]
(12, 9): {wait: 10.92, buy: 9.0} => [buy]
(12, 10): {wait: 11.8, buy: 10.0} => [buy]
(12, 11): {wait: 12.68, buy: 11.0} => [buy]
(12, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(12, 13): {wait: 14.44, buy: 13.0} => [buy]
(12, 14): {wait: 15.32, buy: 14.0} => [buy]
(12, 15): {wait: 16.2, buy: 15.0} => [buy]
(12, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(12, 17): {wait: 17.96, buy: 17.0} => [buy]
(12, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(12, 19): {wait: 19.72, buy: 19.0} => [buy]
(12, 20): {wait: 20.6, buy: 20.0} => [buy]
(12, 21): {wait: 21.48, buy: 21.0} => [buy]
(12, 22): {wait: 22.36, buy: 22.0} => [buy]
(12, 23): {wait: 23.23702461064448, buy: 23.0} => [buy]
(12, 24): {wait: 24.102115202334716, buy: 24.0} => [buy]
(12, 25): {wait: 24.94375, buy: 25.0} => [wait]
(12, 26): {wait: 25.756515202334718, buy: 26.0} => [wait]
(12, 27): {wait: 26.545824610644473, buy: 27.0} => [wait]
(12, 28): {wait: 27.323199999999996, buy: 28.0} => [wait]
(12, 29): {wait: 28.097599999999996, buy: 29.0} => [wait]
(12, 30): {wait: 28.872, buy: 30.0} => [wait]
(12, 31): {wait: 29.6464, buy: 31.0} => [wait]
(12, 32): {wait: 30.420800000000007, buy: 32.0} => [wait]
(12, 33): {wait: 31.195200000000007, buy: 33.0} => [wait]
(12, 34): {wait: 31.969599999999996, buy: 34.0} => [wait]
(12, 35): {wait: 32.74399999999999, buy: 35.0} => [wait]
(12, 36): {wait: 33.5184, buy: 36.0} => [wait]
(12, 37): {wait: 34.2928, buy: 37.0} => [wait]
(12, 38): {wait: 35.0672, buy: 38.0} => [wait]
(12, 39): {wait: 35.84160000000001, buy: 39.0} => [wait]
(12, 40): {wait: 36.61600000000001, buy: 40.0} => [wait]
(12, 41): {wait: 37.3904, buy: 41.0} => [wait]
(12, 42): {wait: 38.1648, buy: 42.0} => [wait]
(12, 43): {wait: 38.93919999999999, buy: 43.0} => [wait]
(12, 44): {wait: 39.71360000000001, buy: 44.0} => [wait]
(12, 45): {wait: 40.488, buy: 45.0} => [wait]
(12, 46): {wait: 41.2624, buy: 46.0} => [wait]
(12, 47): {wait: 42.036799999999985, buy: 47.0} => [wait]
(12, 48): {wait: 42.811200000491525, buy: 48.0} => [wait]
(12, 49): {wait: 43.585600002273274, buy: 49.0} => [wait]
(12, 50): {wait: 44.36, buy: 50.0} => [wait]
(12, 51): {wait: 45.24, buy: 51.0} => [wait]
(12, 52): {wait: 46.120000000000005, buy: 52.0} => [wait]
(12, 53): {wait: 47.0, buy: 53.0} => [wait]
(12, 54): {wait: 48.0, buy: 54.0} => [wait]
(12, 55): {wait: 49.0, buy: 55.0} => [wait]
(12, 56): {wait: 50.0, buy: 56.0} => [wait]
(12, 57): {wait: 51.0, buy: 57.0} => [wait]
(12, 58): {wait: 52.0, buy: 58.0} => [wait]
(13, 0): {wait: 3.0, buy: 0.0} => [buy]
(13, 1): {wait: 3.880000018944, buy: 1.0} => [buy]
(13, 2): {wait: 4.760000004096, buy: 2.0} => [buy]
(13, 3): {wait: 5.639999999999999, buy: 3.0} => [buy]
(13, 4): {wait: 6.52, buy: 4.0} => [buy]
(13, 5): {wait: 7.4, buy: 5.0} => [buy]
(13, 6): {wait: 8.280000000000001, buy: 6.0} => [buy]
(13, 7): {wait: 9.16, buy: 7.0} => [buy]
(13, 8): {wait: 10.04, buy: 8.0} => [buy]
(13, 9): {wait: 10.92, buy: 9.0} => [buy]
(13, 10): {wait: 11.8, buy: 10.0} => [buy]
(13, 11): {wait: 12.68, buy: 11.0} => [buy]
(13, 12): {wait: 13.559999999999999, buy: 12.0} => [buy]
(13, 13): {wait: 14.44, buy: 13.0} => [buy]
(13, 14): {wait: 15.32, buy: 14.0} => [buy]
(13, 15): {wait: 16.2, buy: 15.0} => [buy]
(13, 16): {wait: 17.080000000000002, buy: 16.0} => [buy]
(13, 17): {wait: 17.96, buy: 17.0} => [buy]
(13, 18): {wait: 18.840000000000003, buy: 18.0} => [buy]
(13, 19): {wait: 19.72, buy: 19.0} => [buy]
(13, 20): {wait: 20.6, buy: 20.0} => [buy]
(13, 21): {wait: 21.48, buy: 21.0} => [buy]
(13, 22): {wait: 22.36, buy: 22.0} => [buy]
(13, 23): {wait: 23.24, buy: 23.0} => [buy]
(13, 24): {wait: 24.119999999999997, buy: 24.0} => [buy]
(13, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(13, 26): {wait: 25.88, buy: 26.0} => [wait]
(13, 27): {wait: 26.759999999999994, buy: 27.0} => [wait]
(13, 28): {wait: 27.64, buy: 28.0} => [wait]
(13, 29): {wait: 28.52, buy: 29.0} => [wait]
(13, 30): {wait: 29.400000000000002, buy: 30.0} => [wait]
(13, 31): {wait: 30.28, buy: 31.0} => [wait]
(13, 32): {wait: 31.160000000000004, buy: 32.0} => [wait]
(13, 33): {wait: 32.04, buy: 33.0} => [wait]
(13, 34): {wait: 32.919999999999995, buy: 34.0} => [wait]
(13, 35): {wait: 33.8, buy: 35.0} => [wait]
(13, 36): {wait: 34.68000000000001, buy: 36.0} => [wait]
(13, 37): {wait: 35.56, buy: 37.0} => [wait]
(13, 38): {wait: 36.44, buy: 38.0} => [wait]
(13, 39): {wait: 37.32000000000001, buy: 39.0} => [wait]
(13, 40): {wait: 38.199999999999996, buy: 40.0} => [wait]
(13, 41): {wait: 39.08, buy: 41.0} => [wait]
(13, 42): {wait: 39.96000000000001, buy: 42.0} => [wait]
(13, 43): {wait: 40.839999999999996, buy: 43.0} => [wait]
(13, 44): {wait: 41.72, buy: 44.0} => [wait]
(13, 45): {wait: 42.6, buy: 45.0} => [wait]
(13, 46): {wait: 43.47999999999999, buy: 46.0} => [wait]
(13, 47): {wait: 44.36, buy: 47.0} => [wait]
