0: {'wait': 0.0, 'buy': 0.0} => wait
(8, 25): {'wait': 24.876953125, 'buy': 25.0} => wait
(8, 26): {'wait': 25.581379450216733, 'buy': 26.0} => wait
(8, 27): {'wait': 26.257781896488325, 'buy': 27.0} => wait
(8, 28): {'wait': 26.914020548929248, 'buy': 28.0} => wait
(8, 29): {'wait': 27.559138391586202, 'buy': 29.0} => wait
(8, 30): {'wait': 28.2, 'buy': 30.0} => wait
(8, 31): {'wait': 28.839999999999996, 'buy': 31.0} => wait
(8, 32): {'wait': 29.480000000000004, 'buy': 32.0} => wait
(8, 33): {'wait': 30.12, 'buy': 33.0} => wait
(8, 34): {'wait': 30.759999999999998, 'buy': 34.0} => wait
(8, 35): {'wait': 31.400000000000002, 'buy': 35.0} => wait
(8, 36): {'wait': 32.04, 'buy': 36.0} => wait
(8, 37): {'wait': 32.68000000000001, 'buy': 37.0} => wait
(8, 38): {'wait': 33.32, 'buy': 38.0} => wait
(8, 39): {'wait': 33.959999999999994, 'buy': 39.0} => wait
(8, 40): {'wait': 34.6, 'buy': 40.0} => wait
(8, 41): {'wait': 35.24, 'buy': 41.0} => wait
(8, 42): {'wait': 35.88, 'buy': 42.0} => wait
(8, 43): {'wait': 36.519999999999996, 'buy': 43.0} => wait
(8, 44): {'wait': 37.160000000000004, 'buy': 44.0} => wait
(8, 45): {'wait': 37.8, 'buy': 45.0} => wait
(8, 46): {'wait': 38.440000000002144, 'buy': 46.0} => wait
(8, 47): {'wait': 39.08000000001918, 'buy': 47.0} => wait
(8, 48): {'wait': 39.72000000005537, 'buy': 48.0} => wait
(8, 49): {'wait': 40.360000000029345, 'buy': 49.0} => wait
(8, 50): {'wait': 40.99999999999999, 'buy': 50.0} => wait
(8, 51): {'wait': 41.8, 'buy': 51.0} => wait
(8, 52): {'wait': 42.6, 'buy': 52.0} => wait
(8, 53): {'wait': 43.39999999999999, 'buy': 53.0} => wait
(8, 54): {'wait': 44.199999999999996, 'buy': 54.0} => wait
(8, 55): {'wait': 45.0, 'buy': 55.0} => wait
(8, 56): {'wait': 46.0, 'buy': 56.0} => wait
(8, 57): {'wait': 47.0, 'buy': 57.0} => wait
(8, 58): {'wait': 48.0, 'buy': 58.0} => wait
(8, 59): {'wait': 49.0, 'buy': 59.0} => wait
(8, 60): {'wait': 50.0, 'buy': 60.0} => wait
(9, 0): {'wait': 5.0, 'buy': 0.0} => buy
(9, 1): {'wait': 5.800000000146794, 'buy': 1.0} => buy
(9, 2): {'wait': 6.600000000276855, 'buy': 2.0} => buy
(9, 3): {'wait': 7.40000000009594, 'buy': 3.0} => buy
(9, 4): {'wait': 8.200000000010737, 'buy': 4.0} => buy
(9, 5): {'wait': 9.0, 'buy': 5.0} => buy
(9, 6): {'wait': 9.8, 'buy': 6.0} => buy
(9, 7): {'wait': 10.6, 'buy': 7.0} => buy
(9, 8): {'wait': 11.4, 'buy': 8.0} => buy
(9, 9): {'wait': 12.2, 'buy': 9.0} => buy
(9, 10): {'wait': 13.0, 'buy': 10.0} => buy
(9, 11): {'wait': 13.8, 'buy': 11.0} => buy
(9, 12): {'wait': 14.600000000000003, 'buy': 12.0} => buy
(9, 13): {'wait': 15.399999999999999, 'buy': 13.0} => buy
